REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2006-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.3,NA,[5324]
2006-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.7,NA,[53241]
2006-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,102,NA,NA
2006-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.1,NA,[5324]
2006-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.5,NA,[53241]
2006-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,101.9,NA,NA
2007-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.8,NA,[5324]
2007-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.9,NA,[53241]
2007-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,102,NA,NA
2007-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.3,NA,[5324]
2007-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.2,NA,[53241]
2007-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,100.3,NA,NA
2007-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.4,NA,[5324]
2007-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.9,NA,[53241]
2007-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,99.4,NA,NA
2007-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.5,NA,[5324]
2007-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100,NA,[53241]
2007-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.4,NA,NA
2008-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.3,NA,[5324]
2008-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",101.2,NA,[53241]
2008-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.3,NA,NA
2008-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.9,NA,[5324]
2008-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.6,NA,[53241]
2008-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.3,NA,NA
2008-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.3,NA,[5324]
2008-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.9,NA,[53241]
2008-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.9,NA,NA
2008-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.3,NA,[5324]
2008-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100,NA,[53241]
2008-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.7,NA,NA
2009-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.9,NA,[5324]
2009-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.7,NA,[53241]
2009-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97,NA,NA
2009-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.5,NA,[5324]
2009-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.7,NA,[53241]
2009-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,94.6,NA,NA
2009-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.9,NA,[5324]
2009-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2009-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,93.8,NA,NA
2009-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.7,NA,[5324]
2009-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.2,NA,[53241]
2009-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,93.7,NA,NA
2010-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.1,NA,[5324]
2010-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.7,NA,[53241]
2010-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.8,NA,NA
2010-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.6,NA,[5324]
2010-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.1,NA,[53241]
2010-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.4,NA,NA
2010-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2010-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",93.9,NA,[53241]
2010-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.1,NA,NA
2010-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2010-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.2,NA,[53241]
2010-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.6,NA,NA
2011-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2011-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.5,NA,[53241]
2011-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91,NA,NA
2011-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.4,NA,[5324]
2011-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.2,NA,[53241]
2011-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.5,NA,NA
2011-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.1,NA,[5324]
2011-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.3,NA,[53241]
2011-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.4,NA,NA
2011-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.1,NA,[5324]
2011-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.5,NA,[53241]
2011-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92,NA,NA
2012-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2012-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97,NA,[53241]
2012-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.5,NA,NA
2012-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2012-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.6,NA,NA
2012-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.6,NA,[5324]
2012-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.1,NA,[53241]
2012-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.2,NA,NA
2012-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.8,NA,[5324]
2012-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.1,NA,[53241]
2012-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.8,NA,NA
2013-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.7,NA,[5324]
2013-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.9,NA,[53241]
2013-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.2,NA,NA
2013-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.6,NA,[5324]
2013-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.6,NA,[53241]
2013-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.1,NA,NA
2013-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.1,NA,[5324]
2013-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.2,NA,[53241]
2013-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.5,NA,NA
2013-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96,NA,[5324]
2013-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98,NA,[53241]
2013-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.7,NA,NA
2014-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.6,NA,[5324]
2014-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99,NA,[53241]
2014-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91,NA,NA
2014-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.2,NA,[5324]
2014-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.8,NA,[53241]
2014-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.4,NA,NA
2014-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.3,NA,[5324]
2014-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.9,NA,[53241]
2014-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.1,NA,NA
2014-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.9,NA,[5324]
2014-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.8,NA,[53241]
2014-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90,NA,NA
2015-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.5,NA,[5324]
2015-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.1,NA,[53241]
2015-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,89.5,NA,NA
2015-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95,NA,[5324]
2015-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.4,NA,[53241]
2015-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,89.6,NA,NA
2015-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.4,NA,[5324]
2015-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.7,NA,[53241]
2015-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,89.4,NA,NA
2015-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.5,NA,[5324]
2015-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.4,NA,[53241]
2015-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,89.5,NA,NA
2016-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],92.3,NA,[5324]
2016-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.3,NA,[53241]
2016-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,87.9,NA,NA
2016-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],91,NA,[5324]
2016-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",92.6,NA,[53241]
2016-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,88.1,NA,NA
2016-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.5,NA,[5324]
2016-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",92,NA,[53241]
2016-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,87.9,NA,NA
2016-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.7,NA,[5324]
2016-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",92,NA,[53241]
2016-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,88.7,NA,NA
2017-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.5,NA,[5324]
2017-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",91.6,NA,[53241]
2017-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,89.1,NA,NA
2017-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.8,NA,[5324]
2017-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",91.7,NA,[53241]
2017-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90,NA,NA
2017-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.6,NA,[5324]
2017-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",91.4,NA,[53241]
2017-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.4,NA,NA
2017-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.6,NA,[5324]
2017-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",91.3,NA,[53241]
2017-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.5,NA,NA
2018-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.5,NA,[5324]
2018-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",91.4,NA,[53241]
2018-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,89.8,NA,NA
2018-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],91.3,NA,[5324]
2018-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",92.3,NA,[53241]
2018-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.2,NA,NA
2018-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],91.3,NA,[5324]
2018-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",92.3,NA,[53241]
2018-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.1,NA,NA
2018-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.8,NA,[5324]
2018-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",92,NA,[53241]
2018-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,89.3,NA,NA
2019-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.9,NA,[5324]
2019-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",91.9,NA,[53241]
2019-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90,NA,NA
2019-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],91.4,NA,[5324]
2019-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",92.2,NA,[53241]
2019-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.7,NA,NA
2019-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],91.3,NA,[5324]
2019-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",92.1,NA,[53241]
2019-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.7,NA,NA
2019-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.9,NA,[5324]
2019-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",91.9,NA,[53241]
2019-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,89.8,NA,NA
2020-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],90.1,E,[5324]
2020-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],88.2,E,[5324]
2020-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],88,NA,[5324]
2020-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",88.7,NA,[53241]
2020-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,87.8,NA,NA
2020-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],87.4,NA,[5324]
2020-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",88,NA,[53241]
2020-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,87.7,NA,NA
