REF_DATE,GEO,Type of peripheral,VALUE,STATUS
2013-12,Canada,Laser printers [36111242],101.2,NA
2013-12,Canada,"Laser printers, businesses and governments [361112421]",101.1,NA
2014-01,Canada,Computer monitors and computer printers [E12],100.2,NA
2014-01,Canada,Computer monitors [3611123],99,NA
2014-01,Canada,"Computer monitors, businesses and governments [36111231]",99.4,NA
2014-01,Canada,Computer printers [3611124],100.4,NA
2014-01,Canada,Inkjet printers [36111241],99.9,NA
2014-01,Canada,"Inkjet printers, businesses and governments [361112411]",100,NA
2014-01,Canada,Laser printers [36111242],100.2,NA
2014-01,Canada,"Laser printers, businesses and governments [361112421]",100,NA
2014-02,Canada,Computer monitors and computer printers [E12],100,NA
2014-02,Canada,Computer monitors [3611123],98.7,NA
2014-02,Canada,"Computer monitors, businesses and governments [36111231]",99,NA
2014-02,Canada,Computer printers [3611124],100.2,NA
2014-02,Canada,Inkjet printers [36111241],98.7,NA
2014-02,Canada,"Inkjet printers, businesses and governments [361112411]",98.7,NA
2014-02,Canada,Laser printers [36111242],101.1,NA
2014-02,Canada,"Laser printers, businesses and governments [361112421]",100.9,NA
2014-03,Canada,Computer monitors and computer printers [E12],100.1,NA
2014-03,Canada,Computer monitors [3611123],98.6,NA
2014-03,Canada,"Computer monitors, businesses and governments [36111231]",98.9,NA
2014-03,Canada,Computer printers [3611124],100.4,NA
2014-03,Canada,Inkjet printers [36111241],99.6,NA
2014-03,Canada,"Inkjet printers, businesses and governments [361112411]",99.7,NA
2014-03,Canada,Laser printers [36111242],100.5,NA
2014-03,Canada,"Laser printers, businesses and governments [361112421]",100.4,NA
2014-04,Canada,Computer monitors and computer printers [E12],100.1,NA
2014-04,Canada,Computer monitors [3611123],98.7,NA
2014-04,Canada,"Computer monitors, businesses and governments [36111231]",99,NA
2014-04,Canada,Computer printers [3611124],100.4,NA
2014-04,Canada,Inkjet printers [36111241],99.6,NA
2014-04,Canada,"Inkjet printers, businesses and governments [361112411]",99.7,NA
2014-04,Canada,Laser printers [36111242],100.5,NA
2014-04,Canada,"Laser printers, businesses and governments [361112421]",100.3,NA
2014-05,Canada,Computer monitors and computer printers [E12],100,NA
2014-05,Canada,Computer monitors [3611123],97.9,NA
2014-05,Canada,"Computer monitors, businesses and governments [36111231]",98.2,NA
2014-05,Canada,Computer printers [3611124],100.5,NA
2014-05,Canada,Inkjet printers [36111241],100.2,NA
2014-05,Canada,"Inkjet printers, businesses and governments [361112411]",100.3,NA
2014-05,Canada,Laser printers [36111242],100.5,NA
2014-05,Canada,"Laser printers, businesses and governments [361112421]",100.3,NA
2014-06,Canada,Computer monitors and computer printers [E12],100.1,NA
2014-06,Canada,Computer monitors [3611123],98.3,NA
2014-06,Canada,"Computer monitors, businesses and governments [36111231]",98.7,NA
2014-06,Canada,Computer printers [3611124],100.4,NA
2014-06,Canada,Inkjet printers [36111241],99.6,NA
2014-06,Canada,"Inkjet printers, businesses and governments [361112411]",99.7,NA
2014-06,Canada,Laser printers [36111242],100.5,NA
2014-06,Canada,"Laser printers, businesses and governments [361112421]",100.3,NA
2014-07,Canada,Computer monitors and computer printers [E12],99.7,NA
2014-07,Canada,Computer monitors [3611123],97.8,NA
2014-07,Canada,"Computer monitors, businesses and governments [36111231]",98.2,NA
2014-07,Canada,Computer printers [3611124],100,NA
2014-07,Canada,Inkjet printers [36111241],97.9,NA
2014-07,Canada,"Inkjet printers, businesses and governments [361112411]",98,NA
2014-07,Canada,Laser printers [36111242],100.3,NA
2014-07,Canada,"Laser printers, businesses and governments [361112421]",100.2,NA
2014-08,Canada,Computer monitors and computer printers [E12],99.9,NA
2014-08,Canada,Computer monitors [3611123],98.5,NA
2014-08,Canada,"Computer monitors, businesses and governments [36111231]",98.9,NA
2014-08,Canada,Computer printers [3611124],100.2,NA
2014-08,Canada,Inkjet printers [36111241],99,NA
2014-08,Canada,"Inkjet printers, businesses and governments [361112411]",99.1,NA
2014-08,Canada,Laser printers [36111242],100.3,NA
2014-08,Canada,"Laser printers, businesses and governments [361112421]",100.2,NA
2014-09,Canada,Computer monitors and computer printers [E12],99.9,NA
2014-09,Canada,Computer monitors [3611123],98.5,NA
2014-09,Canada,"Computer monitors, businesses and governments [36111231]",98.8,NA
2014-09,Canada,Computer printers [3611124],100.1,NA
2014-09,Canada,Inkjet printers [36111241],99,NA
2014-09,Canada,"Inkjet printers, businesses and governments [361112411]",99.1,NA
2014-09,Canada,Laser printers [36111242],100.3,NA
2014-09,Canada,"Laser printers, businesses and governments [361112421]",100.1,NA
2014-10,Canada,Computer monitors and computer printers [E12],100.3,NA
2014-10,Canada,Computer monitors [3611123],98.4,NA
2014-10,Canada,"Computer monitors, businesses and governments [36111231]",98.7,NA
2014-10,Canada,Computer printers [3611124],100.7,NA
2014-10,Canada,Inkjet printers [36111241],100.4,NA
2014-10,Canada,"Inkjet printers, businesses and governments [361112411]",100.4,NA
2014-10,Canada,Laser printers [36111242],100.7,NA
2014-10,Canada,"Laser printers, businesses and governments [361112421]",100.5,NA
2014-11,Canada,Computer monitors and computer printers [E12],100.2,NA
2014-11,Canada,Computer monitors [3611123],98.8,NA
2014-11,Canada,"Computer monitors, businesses and governments [36111231]",99.1,NA
2014-11,Canada,Computer printers [3611124],100.5,NA
2014-11,Canada,Inkjet printers [36111241],99,NA
2014-11,Canada,"Inkjet printers, businesses and governments [361112411]",99.1,NA
2014-11,Canada,Laser printers [36111242],100.7,NA
2014-11,Canada,"Laser printers, businesses and governments [361112421]",100.6,NA
2014-12,Canada,Computer monitors and computer printers [E12],100.1,NA
2014-12,Canada,Computer monitors [3611123],99,NA
2014-12,Canada,"Computer monitors, businesses and governments [36111231]",99.4,NA
2014-12,Canada,Computer printers [3611124],100.3,NA
2014-12,Canada,Inkjet printers [36111241],99.7,NA
2014-12,Canada,"Inkjet printers, businesses and governments [361112411]",99.8,NA
2014-12,Canada,Laser printers [36111242],100.3,NA
2014-12,Canada,"Laser printers, businesses and governments [361112421]",100.2,NA
2015-01,Canada,Computer monitors and computer printers [E12],100.1,NA
2015-01,Canada,Computer monitors [3611123],99.1,NA
2015-01,Canada,"Computer monitors, businesses and governments [36111231]",99.5,NA
2015-01,Canada,"Computer monitors, household [36111232]",98.7,NA
2015-01,Canada,Computer printers [3611124],100.3,NA
2015-01,Canada,Inkjet printers [36111241],99.7,NA
2015-01,Canada,"Inkjet printers, businesses and governments [361112411]",99.7,NA
2015-01,Canada,Laser printers [36111242],100.3,NA
2015-01,Canada,"Laser printers, businesses and governments [361112421]",100.2,NA
2015-02,Canada,Computer monitors and computer printers [E12],99.8,NA
2015-02,Canada,Computer monitors [3611123],99.2,NA
2015-02,Canada,"Computer monitors, businesses and governments [36111231]",99.7,NA
2015-02,Canada,"Computer monitors, household [36111232]",98.7,NA
2015-02,Canada,Computer printers [3611124],99.9,NA
2015-02,Canada,Inkjet printers [36111241],99.6,NA
2015-02,Canada,"Inkjet printers, businesses and governments [361112411]",99.6,NA
2015-02,Canada,Laser printers [36111242],99.9,NA
2015-02,Canada,"Laser printers, businesses and governments [361112421]",100,NA
2015-03,Canada,Computer monitors and computer printers [E12],99.9,NA
2015-03,Canada,Computer monitors [3611123],98.4,NA
2015-03,Canada,"Computer monitors, businesses and governments [36111231]",100.1,NA
2015-03,Canada,"Computer monitors, household [36111232]",96.5,NA
2015-03,Canada,Computer printers [3611124],100.1,NA
2015-03,Canada,Inkjet printers [36111241],99.7,NA
2015-03,Canada,"Inkjet printers, businesses and governments [361112411]",99.8,NA
2015-03,Canada,Laser printers [36111242],100.2,NA
2015-03,Canada,"Laser printers, businesses and governments [361112421]",100.1,NA
2015-04,Canada,Computer monitors and computer printers [E12],100.2,NA
2015-04,Canada,Computer monitors [3611123],100,NA
2015-04,Canada,"Computer monitors, businesses and governments [36111231]",100,NA
2015-04,Canada,"Computer monitors, household [36111232]",100.1,NA
2015-04,Canada,Computer printers [3611124],100.2,NA
2015-04,Canada,Inkjet printers [36111241],101.6,NA
2015-04,Canada,"Inkjet printers, businesses and governments [361112411]",99.9,NA
2015-04,Canada,Laser printers [36111242],100,NA
2015-04,Canada,"Laser printers, businesses and governments [361112421]",100,NA
2015-05,Canada,Computer monitors and computer printers [E12],100,NA
2015-05,Canada,Computer monitors [3611123],99.5,NA
2015-05,Canada,"Computer monitors, businesses and governments [36111231]",99.5,NA
2015-05,Canada,"Computer monitors, household [36111232]",99.7,NA
2015-05,Canada,Computer printers [3611124],100.1,NA
2015-05,Canada,Inkjet printers [36111241],99.3,NA
2015-05,Canada,"Inkjet printers, businesses and governments [361112411]",100.1,NA
2015-05,Canada,Laser printers [36111242],100.2,NA
2015-05,Canada,"Laser printers, businesses and governments [361112421]",100.2,NA
2015-06,Canada,Computer monitors and computer printers [E12],100,NA
2015-06,Canada,Computer monitors [3611123],98.8,NA
2015-06,Canada,"Computer monitors, businesses and governments [36111231]",99.2,NA
2015-06,Canada,"Computer monitors, household [36111232]",98.5,NA
2015-06,Canada,Computer printers [3611124],100.1,NA
2015-06,Canada,Inkjet printers [36111241],99.7,NA
2015-06,Canada,"Inkjet printers, businesses and governments [361112411]",100,NA
2015-06,Canada,Laser printers [36111242],100.2,NA
2015-06,Canada,"Laser printers, businesses and governments [361112421]",100.1,NA
2015-07,Canada,Computer monitors and computer printers [E12],99.7,NA
2015-07,Canada,Computer monitors [3611123],98.9,NA
2015-07,Canada,"Computer monitors, businesses and governments [36111231]",99.1,NA
2015-07,Canada,"Computer monitors, household [36111232]",98.8,NA
2015-07,Canada,Computer printers [3611124],99.9,NA
2015-07,Canada,Inkjet printers [36111241],98.5,NA
2015-07,Canada,"Inkjet printers, businesses and governments [361112411]",100.1,NA
2015-07,Canada,Laser printers [36111242],100,NA
2015-07,Canada,"Laser printers, businesses and governments [361112421]",100.1,NA
2015-08,Canada,Computer monitors and computer printers [E12],99.9,NA
2015-08,Canada,Computer monitors [3611123],99.1,NA
2015-08,Canada,"Computer monitors, businesses and governments [36111231]",99.2,NA
2015-08,Canada,"Computer monitors, household [36111232]",99.1,NA
2015-08,Canada,Computer printers [3611124],100.1,NA
2015-08,Canada,Inkjet printers [36111241],101.2,NA
2015-08,Canada,"Inkjet printers, businesses and governments [361112411]",100.1,NA
2015-08,Canada,Laser printers [36111242],99.9,NA
2015-08,Canada,"Laser printers, businesses and governments [361112421]",100.1,NA
2015-09,Canada,Computer monitors and computer printers [E12],99.8,NA
2015-09,Canada,Computer monitors [3611123],99.8,NA
2015-09,Canada,"Computer monitors, businesses and governments [36111231]",99.3,NA
2015-09,Canada,"Computer monitors, household [36111232]",100.5,NA
2015-09,Canada,Computer printers [3611124],99.8,NA
2015-09,Canada,Inkjet printers [36111241],99.2,NA
2015-09,Canada,"Inkjet printers, businesses and governments [361112411]",100,NA
2015-09,Canada,Laser printers [36111242],99.9,NA
2015-09,Canada,"Laser printers, businesses and governments [361112421]",100,NA
2015-10,Canada,Computer monitors and computer printers [E12],100,NA
2015-10,Canada,Computer monitors [3611123],100.2,NA
2015-10,Canada,"Computer monitors, businesses and governments [36111231]",99.5,NA
2015-10,Canada,"Computer monitors, household [36111232]",101.1,NA
2015-10,Canada,Computer printers [3611124],100,NA
2015-10,Canada,Inkjet printers [36111241],100.2,NA
2015-10,Canada,"Inkjet printers, businesses and governments [361112411]",100,NA
2015-10,Canada,Laser printers [36111242],100,NA
2015-10,Canada,"Laser printers, businesses and governments [361112421]",100,NA
2015-11,Canada,Computer monitors and computer printers [E12],100.3,NA
2015-11,Canada,Computer monitors [3611123],102.7,NA
2015-11,Canada,"Computer monitors, businesses and governments [36111231]",102.6,NA
2015-11,Canada,"Computer monitors, household [36111232]",102.9,NA
2015-11,Canada,Computer printers [3611124],99.9,NA
2015-11,Canada,Inkjet printers [36111241],100.5,NA
2015-11,Canada,"Inkjet printers, businesses and governments [361112411]",100.3,NA
2015-11,Canada,Laser printers [36111242],99.8,NA
2015-11,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2015-12,Canada,Computer monitors and computer printers [E12],100.3,NA
2015-12,Canada,Computer monitors [3611123],104,NA
2015-12,Canada,"Computer monitors, businesses and governments [36111231]",102.6,NA
2015-12,Canada,"Computer monitors, household [36111232]",105.6,NA
2015-12,Canada,Computer printers [3611124],99.7,NA
2015-12,Canada,Inkjet printers [36111241],100.8,NA
2015-12,Canada,"Inkjet printers, businesses and governments [361112411]",100.4,NA
2015-12,Canada,Laser printers [36111242],99.5,NA
2015-12,Canada,"Laser printers, businesses and governments [361112421]",99.7,NA
2016-01,Canada,Computer monitors and computer printers [E12],100.6,NA
2016-01,Canada,Computer monitors [3611123],104,NA
2016-01,Canada,"Computer monitors, businesses and governments [36111231]",102.7,NA
2016-01,Canada,"Computer monitors, household [36111232]",105.6,NA
2016-01,Canada,Computer printers [3611124],100,NA
2016-01,Canada,Inkjet printers [36111241],101,NA
2016-01,Canada,"Inkjet printers, businesses and governments [361112411]",99.8,NA
2016-01,Canada,Laser printers [36111242],99.9,NA
2016-01,Canada,"Laser printers, businesses and governments [361112421]",99.7,NA
2016-02,Canada,Computer monitors and computer printers [E12],100.6,NA
2016-02,Canada,Computer monitors [3611123],104.2,NA
2016-02,Canada,"Computer monitors, businesses and governments [36111231]",102.5,NA
2016-02,Canada,"Computer monitors, household [36111232]",106.1,NA
2016-02,Canada,Computer printers [3611124],100.1,NA
2016-02,Canada,Inkjet printers [36111241],101,NA
2016-02,Canada,"Inkjet printers, businesses and governments [361112411]",99.8,NA
2016-02,Canada,Laser printers [36111242],99.9,NA
2016-02,Canada,"Laser printers, businesses and governments [361112421]",99.8,NA
2016-03,Canada,Computer monitors and computer printers [E12],100.7,NA
2016-03,Canada,Computer monitors [3611123],103.7,NA
2016-03,Canada,"Computer monitors, businesses and governments [36111231]",102.6,NA
2016-03,Canada,"Computer monitors, household [36111232]",104.9,NA
2016-03,Canada,Computer printers [3611124],100.2,NA
2016-03,Canada,Inkjet printers [36111241],101,NA
2016-03,Canada,"Inkjet printers, businesses and governments [361112411]",99.8,NA
2016-03,Canada,Laser printers [36111242],100.1,NA
2016-03,Canada,"Laser printers, businesses and governments [361112421]",99.8,NA
2016-04,Canada,Computer monitors and computer printers [E12],100.6,NA
2016-04,Canada,Computer monitors [3611123],103.4,NA
2016-04,Canada,"Computer monitors, businesses and governments [36111231]",102.2,NA
2016-04,Canada,"Computer monitors, household [36111232]",104.7,NA
2016-04,Canada,Computer printers [3611124],100.1,NA
2016-04,Canada,Inkjet printers [36111241],101.1,NA
2016-04,Canada,"Inkjet printers, businesses and governments [361112411]",99.9,NA
2016-04,Canada,Laser printers [36111242],100,NA
2016-04,Canada,"Laser printers, businesses and governments [361112421]",99.8,NA
2016-05,Canada,Computer monitors and computer printers [E12],101.1,NA
2016-05,Canada,Computer monitors [3611123],102.8,NA
2016-05,Canada,"Computer monitors, businesses and governments [36111231]",101.8,NA
2016-05,Canada,"Computer monitors, household [36111232]",103.8,NA
2016-05,Canada,Computer printers [3611124],100.9,NA
2016-05,Canada,Inkjet printers [36111241],99.6,NA
2016-05,Canada,"Inkjet printers, businesses and governments [361112411]",99.9,NA
2016-05,Canada,Laser printers [36111242],101,NA
2016-05,Canada,"Laser printers, businesses and governments [361112421]",101,NA
2016-06,Canada,Computer monitors and computer printers [E12],101.3,NA
2016-06,Canada,Computer monitors [3611123],102.7,NA
2016-06,Canada,"Computer monitors, businesses and governments [36111231]",101.7,NA
2016-06,Canada,"Computer monitors, household [36111232]",103.8,NA
2016-06,Canada,Computer printers [3611124],101.1,NA
2016-06,Canada,Inkjet printers [36111241],99.2,NA
2016-06,Canada,"Inkjet printers, businesses and governments [361112411]",99.6,NA
2016-06,Canada,Laser printers [36111242],101.4,NA
2016-06,Canada,"Laser printers, businesses and governments [361112421]",101.3,NA
2016-07,Canada,Computer monitors and computer printers [E12],101.3,NA
2016-07,Canada,Computer monitors [3611123],102.2,NA
2016-07,Canada,"Computer monitors, businesses and governments [36111231]",101.6,NA
2016-07,Canada,"Computer monitors, household [36111232]",102.8,NA
2016-07,Canada,Computer printers [3611124],101.1,NA
2016-07,Canada,Inkjet printers [36111241],100.2,NA
2016-07,Canada,"Inkjet printers, businesses and governments [361112411]",101.1,NA
2016-07,Canada,Laser printers [36111242],101.2,NA
2016-07,Canada,"Laser printers, businesses and governments [361112421]",101.2,NA
2016-08,Canada,Computer monitors and computer printers [E12],100.9,NA
2016-08,Canada,Computer monitors [3611123],101.8,NA
2016-08,Canada,"Computer monitors, businesses and governments [36111231]",101.8,NA
2016-08,Canada,"Computer monitors, household [36111232]",101.8,NA
2016-08,Canada,Computer printers [3611124],100.7,NA
2016-08,Canada,Inkjet printers [36111241],97.3,NA
2016-08,Canada,"Inkjet printers, businesses and governments [361112411]",100.2,NA
2016-08,Canada,Laser printers [36111242],101.2,NA
2016-08,Canada,"Laser printers, businesses and governments [361112421]",101.2,NA
2016-09,Canada,Computer monitors and computer printers [E12],100.9,NA
2016-09,Canada,Computer monitors [3611123],101.8,NA
2016-09,Canada,"Computer monitors, businesses and governments [36111231]",101.8,NA
2016-09,Canada,"Computer monitors, household [36111232]",101.7,NA
2016-09,Canada,Computer printers [3611124],100.8,NA
2016-09,Canada,Inkjet printers [36111241],97.4,NA
2016-09,Canada,"Inkjet printers, businesses and governments [361112411]",100.4,NA
2016-09,Canada,Laser printers [36111242],101.2,NA
2016-09,Canada,"Laser printers, businesses and governments [361112421]",101.3,NA
2016-10,Canada,Computer monitors and computer printers [E12],101.2,NA
2016-10,Canada,Computer monitors [3611123],101.6,NA
2016-10,Canada,"Computer monitors, businesses and governments [36111231]",102,NA
2016-10,Canada,"Computer monitors, household [36111232]",101.1,NA
2016-10,Canada,Computer printers [3611124],101.2,NA
2016-10,Canada,Inkjet printers [36111241],101.6,NA
2016-10,Canada,"Inkjet printers, businesses and governments [361112411]",100.4,NA
2016-10,Canada,Laser printers [36111242],101.1,NA
2016-10,Canada,"Laser printers, businesses and governments [361112421]",101.2,NA
2016-11,Canada,Computer monitors and computer printers [E12],101.3,NA
2016-11,Canada,Computer monitors [3611123],101.6,NA
2016-11,Canada,"Computer monitors, businesses and governments [36111231]",101.8,NA
2016-11,Canada,"Computer monitors, household [36111232]",101.4,NA
2016-11,Canada,Computer printers [3611124],101.2,NA
2016-11,Canada,Inkjet printers [36111241],101.7,NA
2016-11,Canada,"Inkjet printers, businesses and governments [361112411]",100.7,NA
2016-11,Canada,Laser printers [36111242],101.2,NA
2016-11,Canada,"Laser printers, businesses and governments [361112421]",101.3,NA
2016-12,Canada,Computer monitors and computer printers [E12],100.9,NA
2016-12,Canada,Computer monitors [3611123],101.4,NA
2016-12,Canada,"Computer monitors, businesses and governments [36111231]",101.6,NA
2016-12,Canada,"Computer monitors, household [36111232]",101.2,NA
2016-12,Canada,Computer printers [3611124],100.8,NA
2016-12,Canada,Inkjet printers [36111241],98,NA
2016-12,Canada,"Inkjet printers, businesses and governments [361112411]",100.6,NA
2016-12,Canada,Laser printers [36111242],101.1,NA
2016-12,Canada,"Laser printers, businesses and governments [361112421]",101.2,NA
2017-01,Canada,Computer monitors and computer printers [E12],101,NA
2017-01,Canada,Computer monitors [3611123],101,NA
2017-01,Canada,"Computer monitors, businesses and governments [36111231]",101.7,NA
2017-01,Canada,"Computer monitors, household [36111232]",100.2,NA
2017-01,Canada,Computer printers [3611124],101,NA
2017-01,Canada,Inkjet printers [36111241],99.5,NA
2017-01,Canada,"Inkjet printers, businesses and governments [361112411]",100.6,NA
2017-01,Canada,Laser printers [36111242],101.2,NA
2017-01,Canada,"Laser printers, businesses and governments [361112421]",101.2,NA
2017-02,Canada,Computer monitors and computer printers [E12],100.3,NA
2017-02,Canada,Computer monitors [3611123],99.7,NA
2017-02,Canada,"Computer monitors, businesses and governments [36111231]",101.8,NA
2017-02,Canada,"Computer monitors, household [36111232]",97.3,NA
2017-02,Canada,Computer printers [3611124],100.4,NA
2017-02,Canada,Inkjet printers [36111241],99.4,NA
2017-02,Canada,"Inkjet printers, businesses and governments [361112411]",100.6,NA
2017-02,Canada,Laser printers [36111242],100.6,NA
2017-02,Canada,"Laser printers, businesses and governments [361112421]",100.8,NA
2017-03,Canada,Computer monitors and computer printers [E12],100.5,NA
2017-03,Canada,Computer monitors [3611123],99.5,NA
2017-03,Canada,"Computer monitors, businesses and governments [36111231]",101.7,NA
2017-03,Canada,"Computer monitors, household [36111232]",97.1,NA
2017-03,Canada,Computer printers [3611124],100.7,NA
2017-03,Canada,Inkjet printers [36111241],99,NA
2017-03,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2017-03,Canada,Laser printers [36111242],100.9,NA
2017-03,Canada,"Laser printers, businesses and governments [361112421]",100.8,NA
2017-04,Canada,Computer monitors and computer printers [E12],100.3,NA
2017-04,Canada,Computer monitors [3611123],99.5,NA
2017-04,Canada,"Computer monitors, businesses and governments [36111231]",101.6,NA
2017-04,Canada,"Computer monitors, household [36111232]",97,NA
2017-04,Canada,Computer printers [3611124],100.4,NA
2017-04,Canada,Inkjet printers [36111241],98.5,NA
2017-04,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2017-04,Canada,Laser printers [36111242],100.7,NA
2017-04,Canada,"Laser printers, businesses and governments [361112421]",100.6,NA
2017-05,Canada,Computer monitors and computer printers [E12],100.2,NA
2017-05,Canada,Computer monitors [3611123],99.5,NA
2017-05,Canada,"Computer monitors, businesses and governments [36111231]",101.4,NA
2017-05,Canada,"Computer monitors, household [36111232]",97.3,NA
2017-05,Canada,Computer printers [3611124],100.3,NA
2017-05,Canada,Inkjet printers [36111241],98.9,NA
2017-05,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2017-05,Canada,Laser printers [36111242],100.5,NA
2017-05,Canada,"Laser printers, businesses and governments [361112421]",100.6,NA
2017-06,Canada,Computer monitors and computer printers [E12],99.1,NA
2017-06,Canada,Computer monitors [3611123],99.3,NA
2017-06,Canada,"Computer monitors, businesses and governments [36111231]",101.3,NA
2017-06,Canada,"Computer monitors, household [36111232]",97,NA
2017-06,Canada,Computer printers [3611124],99.1,NA
2017-06,Canada,Inkjet printers [36111241],95.3,NA
2017-06,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2017-06,Canada,Laser printers [36111242],99.6,NA
2017-06,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2017-07,Canada,Computer monitors and computer printers [E12],99,NA
2017-07,Canada,Computer monitors [3611123],99.1,NA
2017-07,Canada,"Computer monitors, businesses and governments [36111231]",101.7,NA
2017-07,Canada,"Computer monitors, household [36111232]",96.2,NA
2017-07,Canada,Computer printers [3611124],98.9,NA
2017-07,Canada,Inkjet printers [36111241],93.8,NA
2017-07,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2017-07,Canada,Laser printers [36111242],99.6,NA
2017-07,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2017-08,Canada,Computer monitors and computer printers [E12],99.1,NA
2017-08,Canada,Computer monitors [3611123],99,NA
2017-08,Canada,"Computer monitors, businesses and governments [36111231]",101.5,NA
2017-08,Canada,"Computer monitors, household [36111232]",96.1,NA
2017-08,Canada,Computer printers [3611124],99.1,NA
2017-08,Canada,Inkjet printers [36111241],95.4,NA
2017-08,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2017-08,Canada,Laser printers [36111242],99.6,NA
