REF_DATE,GEO,Type of peripheral,VALUE,STATUS
2017-08,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2017-09,Canada,Computer monitors and computer printers [E12],99,NA
2017-09,Canada,Computer monitors [3611123],98.5,NA
2017-09,Canada,"Computer monitors, businesses and governments [36111231]",101,NA
2017-09,Canada,"Computer monitors, household [36111232]",95.7,NA
2017-09,Canada,Computer printers [3611124],99.1,NA
2017-09,Canada,Inkjet printers [36111241],95.4,NA
2017-09,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2017-09,Canada,Laser printers [36111242],99.6,NA
2017-09,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2017-10,Canada,Computer monitors and computer printers [E12],99,NA
2017-10,Canada,Computer monitors [3611123],98,NA
2017-10,Canada,"Computer monitors, businesses and governments [36111231]",100.7,NA
2017-10,Canada,"Computer monitors, household [36111232]",94.8,NA
2017-10,Canada,Computer printers [3611124],99.1,NA
2017-10,Canada,Inkjet printers [36111241],95.4,NA
2017-10,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2017-10,Canada,Laser printers [36111242],99.7,NA
2017-10,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2017-11,Canada,Computer monitors and computer printers [E12],98.9,NA
2017-11,Canada,Computer monitors [3611123],97.5,NA
2017-11,Canada,"Computer monitors, businesses and governments [36111231]",100.3,NA
2017-11,Canada,"Computer monitors, household [36111232]",94.5,NA
2017-11,Canada,Computer printers [3611124],99.2,NA
2017-11,Canada,Inkjet printers [36111241],95.4,NA
2017-11,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2017-11,Canada,Laser printers [36111242],99.7,NA
2017-11,Canada,"Laser printers, businesses and governments [361112421]",99.7,NA
2017-12,Canada,Computer monitors and computer printers [E12],98.9,NA
2017-12,Canada,Computer monitors [3611123],97.6,NA
2017-12,Canada,"Computer monitors, businesses and governments [36111231]",100.2,NA
2017-12,Canada,"Computer monitors, household [36111232]",94.5,NA
2017-12,Canada,Computer printers [3611124],99.2,NA
2017-12,Canada,Inkjet printers [36111241],95.4,NA
2017-12,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2017-12,Canada,Laser printers [36111242],99.7,NA
2017-12,Canada,"Laser printers, businesses and governments [361112421]",99.7,NA
2018-01,Canada,Computer monitors and computer printers [E12],98.9,NA
2018-01,Canada,Computer monitors [3611123],97.5,NA
2018-01,Canada,"Computer monitors, businesses and governments [36111231]",99.9,NA
2018-01,Canada,"Computer monitors, household [36111232]",94.8,NA
2018-01,Canada,Computer printers [3611124],99.1,NA
2018-01,Canada,Inkjet printers [36111241],95.4,NA
2018-01,Canada,"Inkjet printers, businesses and governments [361112411]",100.5,NA
2018-01,Canada,Laser printers [36111242],99.6,NA
2018-01,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2018-02,Canada,Computer monitors and computer printers [E12],99,NA
2018-02,Canada,Computer monitors [3611123],97.6,NA
2018-02,Canada,"Computer monitors, businesses and governments [36111231]",100,NA
2018-02,Canada,"Computer monitors, household [36111232]",95,NA
2018-02,Canada,Computer printers [3611124],99.2,NA
2018-02,Canada,Inkjet printers [36111241],96.1,NA
2018-02,Canada,"Inkjet printers, businesses and governments [361112411]",102.1,NA
2018-02,Canada,Laser printers [36111242],99.6,NA
2018-02,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2018-03,Canada,Computer monitors and computer printers [E12],98.9,NA
2018-03,Canada,Computer monitors [3611123],97.2,NA
2018-03,Canada,"Computer monitors, businesses and governments [36111231]",99.9,NA
2018-03,Canada,"Computer monitors, household [36111232]",94.2,NA
2018-03,Canada,Computer printers [3611124],99.2,NA
2018-03,Canada,Inkjet printers [36111241],96.1,NA
2018-03,Canada,"Inkjet printers, businesses and governments [361112411]",102.1,NA
2018-03,Canada,Laser printers [36111242],99.6,NA
2018-03,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2018-04,Canada,Computer monitors and computer printers [E12],98.8,NA
2018-04,Canada,Computer monitors [3611123],96.9,NA
2018-04,Canada,"Computer monitors, businesses and governments [36111231]",99.5,NA
2018-04,Canada,"Computer monitors, household [36111232]",93.8,NA
2018-04,Canada,Computer printers [3611124],99.2,NA
2018-04,Canada,Inkjet printers [36111241],96.1,NA
2018-04,Canada,"Inkjet printers, businesses and governments [361112411]",102.1,NA
2018-04,Canada,Laser printers [36111242],99.6,NA
2018-04,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2018-05,Canada,Computer monitors and computer printers [E12],99.6,NA
2018-05,Canada,Computer monitors [3611123],96.8,NA
2018-05,Canada,"Computer monitors, businesses and governments [36111231]",99.7,NA
2018-05,Canada,"Computer monitors, household [36111232]",93.4,NA
2018-05,Canada,Computer printers [3611124],100.3,NA
2018-05,Canada,Inkjet printers [36111241],103.4,NA
2018-05,Canada,"Inkjet printers, businesses and governments [361112411]",102.1,NA
2018-05,Canada,Laser printers [36111242],99.6,NA
2018-05,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2018-06,Canada,Computer monitors and computer printers [E12],99.3,NA
2018-06,Canada,Computer monitors [3611123],96.9,NA
2018-06,Canada,"Computer monitors, businesses and governments [36111231]",99.7,NA
2018-06,Canada,"Computer monitors, household [36111232]",93.6,NA
2018-06,Canada,Computer printers [3611124],99.8,NA
2018-06,Canada,Inkjet printers [36111241],101.7,NA
2018-06,Canada,"Inkjet printers, businesses and governments [361112411]",102.1,NA
2018-06,Canada,Laser printers [36111242],99.3,NA
2018-06,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2018-07,Canada,Computer monitors and computer printers [E12],99.6,NA
2018-07,Canada,Computer monitors [3611123],96.8,NA
2018-07,Canada,"Computer monitors, businesses and governments [36111231]",99.6,NA
2018-07,Canada,"Computer monitors, household [36111232]",93.5,NA
2018-07,Canada,Computer printers [3611124],100.2,NA
2018-07,Canada,Inkjet printers [36111241],102.7,NA
2018-07,Canada,"Inkjet printers, businesses and governments [361112411]",102.1,NA
2018-07,Canada,Laser printers [36111242],99.6,NA
2018-07,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2018-08,Canada,Computer monitors and computer printers [E12],99.3,NA
2018-08,Canada,Computer monitors [3611123],96.5,NA
2018-08,Canada,"Computer monitors, businesses and governments [36111231]",99.2,NA
2018-08,Canada,"Computer monitors, household [36111232]",93.4,NA
2018-08,Canada,Computer printers [3611124],100,NA
2018-08,Canada,Inkjet printers [36111241],100.6,NA
2018-08,Canada,"Inkjet printers, businesses and governments [361112411]",102.1,NA
2018-08,Canada,Laser printers [36111242],99.7,NA
2018-08,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2018-09,Canada,Computer monitors and computer printers [E12],99.1,NA
2018-09,Canada,Computer monitors [3611123],95.9,NA
2018-09,Canada,"Computer monitors, businesses and governments [36111231]",98.5,NA
2018-09,Canada,"Computer monitors, household [36111232]",92.9,NA
2018-09,Canada,Computer printers [3611124],99.9,NA
2018-09,Canada,Inkjet printers [36111241],100.4,NA
2018-09,Canada,"Inkjet printers, businesses and governments [361112411]",102.1,NA
2018-09,Canada,Laser printers [36111242],99.6,NA
2018-09,Canada,"Laser printers, businesses and governments [361112421]",99.6,NA
2018-10,Canada,Computer monitors and computer printers [E12],98.3,NA
2018-10,Canada,Computer monitors [3611123],95.7,NA
2018-10,Canada,"Computer monitors, businesses and governments [36111231]",98.2,NA
2018-10,Canada,"Computer monitors, household [36111232]",92.7,NA
2018-10,Canada,Computer printers [3611124],98.9,NA
2018-10,Canada,Inkjet printers [36111241],95.5,NA
2018-10,Canada,"Inkjet printers, businesses and governments [361112411]",101.4,NA
2018-10,Canada,Laser printers [36111242],99.4,NA
2018-10,Canada,"Laser printers, businesses and governments [361112421]",99.4,NA
2018-11,Canada,Computer monitors and computer printers [E12],98.5,NA
2018-11,Canada,Computer monitors [3611123],95.8,NA
2018-11,Canada,"Computer monitors, businesses and governments [36111231]",98.2,NA
2018-11,Canada,"Computer monitors, household [36111232]",93.1,NA
2018-11,Canada,Computer printers [3611124],99.1,NA
2018-11,Canada,Inkjet printers [36111241],96.8,NA
2018-11,Canada,"Inkjet printers, businesses and governments [361112411]",101.2,NA
2018-11,Canada,Laser printers [36111242],99.4,NA
2018-11,Canada,"Laser printers, businesses and governments [361112421]",99.4,NA
2018-12,Canada,Computer monitors and computer printers [E12],98.2,NA
2018-12,Canada,Computer monitors [3611123],95.4,NA
2018-12,Canada,"Computer monitors, businesses and governments [36111231]",98,NA
2018-12,Canada,"Computer monitors, household [36111232]",92.6,NA
2018-12,Canada,Computer printers [3611124],98.9,NA
2018-12,Canada,Inkjet printers [36111241],94.8,NA
2018-12,Canada,"Inkjet printers, businesses and governments [361112411]",101.2,NA
2018-12,Canada,Laser printers [36111242],99.5,NA
2018-12,Canada,"Laser printers, businesses and governments [361112421]",99.4,NA
2019-01,Canada,Computer monitors and computer printers [E12],99,NA
2019-01,Canada,Computer monitors [3611123],95.1,NA
2019-01,Canada,"Computer monitors, businesses and governments [36111231]",97.5,NA
2019-01,Canada,"Computer monitors, household [36111232]",92.6,NA
2019-01,Canada,Computer printers [3611124],100.1,NA
2019-01,Canada,Inkjet printers [36111241],102.6,NA
2019-01,Canada,"Inkjet printers, businesses and governments [361112411]",102.4,NA
2019-01,Canada,Laser printers [36111242],99.6,NA
2019-01,Canada,"Laser printers, businesses and governments [361112421]",99.5,NA
2019-02,Canada,Computer monitors and computer printers [E12],98.2,NA
2019-02,Canada,Computer monitors [3611123],95.1,NA
2019-02,Canada,"Computer monitors, businesses and governments [36111231]",97.4,NA
2019-02,Canada,"Computer monitors, household [36111232]",92.6,NA
2019-02,Canada,Computer printers [3611124],99,NA
2019-02,Canada,Inkjet printers [36111241],96.9,NA
2019-02,Canada,"Inkjet printers, businesses and governments [361112411]",102.3,NA
2019-02,Canada,Laser printers [36111242],99.3,NA
2019-02,Canada,"Laser printers, businesses and governments [361112421]",99.4,NA
2019-03,Canada,Computer monitors and computer printers [E12],98.2,NA
2019-03,Canada,Computer monitors [3611123],95,NA
2019-03,Canada,"Computer monitors, businesses and governments [36111231]",97.3,NA
2019-03,Canada,"Computer monitors, household [36111232]",92.5,NA
2019-03,Canada,Computer printers [3611124],99,NA
2019-03,Canada,Inkjet printers [36111241],98.1,NA
2019-03,Canada,"Inkjet printers, businesses and governments [361112411]",102.4,NA
2019-03,Canada,Laser printers [36111242],99,NA
2019-03,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2019-04,Canada,Computer monitors and computer printers [E12],98,NA
2019-04,Canada,Computer monitors [3611123],95,NA
2019-04,Canada,"Computer monitors, businesses and governments [36111231]",97.3,NA
2019-04,Canada,"Computer monitors, household [36111232]",92.5,NA
2019-04,Canada,Computer printers [3611124],98.8,NA
2019-04,Canada,Inkjet printers [36111241],97,NA
2019-04,Canada,"Inkjet printers, businesses and governments [361112411]",102.3,NA
2019-04,Canada,Laser printers [36111242],99,NA
2019-04,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2019-05,Canada,Computer monitors and computer printers [E12],98.3,NA
2019-05,Canada,Computer monitors [3611123],94.4,NA
2019-05,Canada,"Computer monitors, businesses and governments [36111231]",96.7,NA
2019-05,Canada,"Computer monitors, household [36111232]",92.3,NA
2019-05,Canada,Computer printers [3611124],99.3,NA
2019-05,Canada,Inkjet printers [36111241],100.8,NA
2019-05,Canada,"Inkjet printers, businesses and governments [361112411]",102.3,NA
2019-05,Canada,Laser printers [36111242],99,NA
2019-05,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2019-06,Canada,Computer monitors and computer printers [E12],97.7,NA
2019-06,Canada,Computer monitors [3611123],93.3,NA
2019-06,Canada,"Computer monitors, businesses and governments [36111231]",95,NA
2019-06,Canada,"Computer monitors, household [36111232]",92.4,NA
2019-06,Canada,Computer printers [3611124],99,NA
2019-06,Canada,Inkjet printers [36111241],98.3,NA
2019-06,Canada,"Inkjet printers, businesses and governments [361112411]",102.3,NA
2019-06,Canada,Laser printers [36111242],99,NA
2019-06,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2019-07,Canada,Computer monitors and computer printers [E12],97.2,NA
2019-07,Canada,Computer monitors [3611123],92.6,NA
2019-07,Canada,"Computer monitors, businesses and governments [36111231]",93.9,NA
2019-07,Canada,"Computer monitors, household [36111232]",92.3,NA
2019-07,Canada,Computer printers [3611124],98.5,NA
2019-07,Canada,Inkjet printers [36111241],95,NA
2019-07,Canada,"Inkjet printers, businesses and governments [361112411]",102.3,NA
2019-07,Canada,Laser printers [36111242],99,NA
2019-07,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2019-08,Canada,Computer monitors and computer printers [E12],97.2,NA
2019-08,Canada,Computer monitors [3611123],92.4,NA
2019-08,Canada,"Computer monitors, businesses and governments [36111231]",93.8,NA
2019-08,Canada,"Computer monitors, household [36111232]",91.9,NA
2019-08,Canada,Computer printers [3611124],98.6,NA
2019-08,Canada,Inkjet printers [36111241],95.1,NA
2019-08,Canada,"Inkjet printers, businesses and governments [361112411]",102.3,NA
2019-08,Canada,Laser printers [36111242],99,NA
2019-08,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2019-09,Canada,Computer monitors and computer printers [E12],97.2,NA
2019-09,Canada,Computer monitors [3611123],92.1,NA
2019-09,Canada,"Computer monitors, businesses and governments [36111231]",93.3,NA
2019-09,Canada,"Computer monitors, household [36111232]",92,NA
2019-09,Canada,Computer printers [3611124],98.7,NA
2019-09,Canada,Inkjet printers [36111241],96.4,NA
2019-09,Canada,"Inkjet printers, businesses and governments [361112411]",102.2,NA
2019-09,Canada,Laser printers [36111242],99,NA
2019-09,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2019-10,Canada,Computer monitors and computer printers [E12],96.7,NA
2019-10,Canada,Computer monitors [3611123],90.2,NA
2019-10,Canada,"Computer monitors, businesses and governments [36111231]",90.6,NA
2019-10,Canada,"Computer monitors, household [36111232]",91.9,NA
2019-10,Canada,Computer printers [3611124],98.7,NA
2019-10,Canada,Inkjet printers [36111241],97.2,NA
2019-10,Canada,"Inkjet printers, businesses and governments [361112411]",102,NA
2019-10,Canada,Laser printers [36111242],98.9,NA
2019-10,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2019-11,Canada,Computer monitors and computer printers [E12],96.6,NA
2019-11,Canada,Computer monitors [3611123],90.2,NA
2019-11,Canada,"Computer monitors, businesses and governments [36111231]",90.5,NA
2019-11,Canada,"Computer monitors, household [36111232]",92.2,NA
2019-11,Canada,Computer printers [3611124],98.5,NA
2019-11,Canada,Inkjet printers [36111241],95.4,NA
2019-11,Canada,"Inkjet printers, businesses and governments [361112411]",101.7,NA
2019-11,Canada,Laser printers [36111242],98.9,NA
2019-11,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2019-12,Canada,Computer monitors and computer printers [E12],96.5,NA
2019-12,Canada,Computer monitors [3611123],90,NA
2019-12,Canada,"Computer monitors, businesses and governments [36111231]",90.4,NA
2019-12,Canada,"Computer monitors, household [36111232]",91.6,NA
2019-12,Canada,Computer printers [3611124],98.5,NA
2019-12,Canada,Inkjet printers [36111241],95.3,NA
2019-12,Canada,"Inkjet printers, businesses and governments [361112411]",101.7,NA
2019-12,Canada,Laser printers [36111242],98.9,NA
2019-12,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2020-01,Canada,Computer monitors and computer printers [E12],96.6,NA
2020-01,Canada,Computer monitors [3611123],89.7,NA
2020-01,Canada,"Computer monitors, businesses and governments [36111231]",89.9,NA
2020-01,Canada,"Computer monitors, household [36111232]",91.8,NA
2020-01,Canada,Computer printers [3611124],98.7,NA
2020-01,Canada,Inkjet printers [36111241],96.9,NA
2020-01,Canada,"Inkjet printers, businesses and governments [361112411]",101.7,NA
2020-01,Canada,Laser printers [36111242],98.9,NA
2020-01,Canada,"Laser printers, businesses and governments [361112421]",99.2,NA
2020-02,Canada,Computer monitors and computer printers [E12],96.4,NA
2020-02,Canada,Computer monitors [3611123],89.3,NA
2020-02,Canada,"Computer monitors, businesses and governments [36111231]",89.4,NA
2020-02,Canada,"Computer monitors, household [36111232]",91.5,NA
2020-02,Canada,Computer printers [3611124],98.6,NA
2020-02,Canada,Inkjet printers [36111241],98.7,NA
2020-02,Canada,"Inkjet printers, businesses and governments [361112411]",101.6,NA
2020-02,Canada,Laser printers [36111242],98.5,NA
2020-02,Canada,"Laser printers, businesses and governments [361112421]",98.8,NA
2020-03,Canada,Computer monitors and computer printers [E12],96.2,NA
2020-03,Canada,Computer monitors [3611123],89.4,NA
2020-03,Canada,"Computer monitors, businesses and governments [36111231]",89.4,NA
2020-03,Canada,"Computer monitors, household [36111232]",91.9,NA
2020-03,Canada,Computer printers [3611124],98.2,NA
2020-03,Canada,Inkjet printers [36111241],95.1,NA
2020-03,Canada,"Inkjet printers, businesses and governments [361112411]",101.7,NA
2020-03,Canada,Laser printers [36111242],98.6,NA
2020-03,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
2020-04,Canada,Computer monitors and computer printers [E12],96.2,NA
2020-04,Canada,Computer monitors [3611123],89.6,NA
2020-04,Canada,"Computer monitors, businesses and governments [36111231]",89.3,NA
2020-04,Canada,"Computer monitors, household [36111232]",93,NA
2020-04,Canada,Computer printers [3611124],98.2,NA
2020-04,Canada,Inkjet printers [36111241],95.1,NA
2020-04,Canada,"Inkjet printers, businesses and governments [361112411]",101.5,NA
2020-04,Canada,Laser printers [36111242],98.6,NA
2020-04,Canada,"Laser printers, businesses and governments [361112421]",98.8,NA
2020-05,Canada,Computer monitors and computer printers [E12],96.6,NA
2020-05,Canada,Computer monitors [3611123],89,NA
2020-05,Canada,"Computer monitors, businesses and governments [36111231]",88,NA
2020-05,Canada,"Computer monitors, household [36111232]",93.7,NA
2020-05,Canada,Computer printers [3611124],99,NA
2020-05,Canada,Inkjet printers [36111241],100,NA
2020-05,Canada,"Inkjet printers, businesses and governments [361112411]",101.6,NA
2020-05,Canada,Laser printers [36111242],98.7,NA
2020-05,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
2020-06,Canada,Computer monitors and computer printers [E12],96.2,NA
2020-06,Canada,Computer monitors [3611123],88.4,NA
2020-06,Canada,"Computer monitors, businesses and governments [36111231]",87.8,NA
2020-06,Canada,"Computer monitors, household [36111232]",92.3,NA
2020-06,Canada,Computer printers [3611124],98.6,NA
2020-06,Canada,Inkjet printers [36111241],98.4,NA
2020-06,Canada,"Inkjet printers, businesses and governments [361112411]",101.6,NA
2020-06,Canada,Laser printers [36111242],98.5,NA
2020-06,Canada,"Laser printers, businesses and governments [361112421]",98.7,NA
2020-07,Canada,Computer monitors and computer printers [E12],95.8,NA
2020-07,Canada,Computer monitors [3611123],88.4,NA
2020-07,Canada,"Computer monitors, businesses and governments [36111231]",87.8,NA
2020-07,Canada,"Computer monitors, household [36111232]",92.1,NA
2020-07,Canada,Computer printers [3611124],98.1,NA
2020-07,Canada,Inkjet printers [36111241],94.4,NA
2020-07,Canada,"Inkjet printers, businesses and governments [361112411]",101.6,NA
2020-07,Canada,Laser printers [36111242],98.7,NA
2020-07,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
2020-08,Canada,Computer monitors and computer printers [E12],96.6,NA
2020-08,Canada,Computer monitors [3611123],88.1,NA
2020-08,Canada,"Computer monitors, businesses and governments [36111231]",87.2,NA
2020-08,Canada,"Computer monitors, household [36111232]",92.6,NA
2020-08,Canada,Computer printers [3611124],99.2,NA
2020-08,Canada,Inkjet printers [36111241],101.1,NA
2020-08,Canada,"Inkjet printers, businesses and governments [361112411]",101.4,NA
2020-08,Canada,Laser printers [36111242],98.8,NA
2020-08,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
2020-09,Canada,Computer monitors and computer printers [E12],96.6,NA
2020-09,Canada,Computer monitors [3611123],88,NA
2020-09,Canada,"Computer monitors, businesses and governments [36111231]",87.1,NA
2020-09,Canada,"Computer monitors, household [36111232]",92.5,NA
2020-09,Canada,Computer printers [3611124],99.3,NA
2020-09,Canada,Inkjet printers [36111241],100.9,NA
2020-09,Canada,"Inkjet printers, businesses and governments [361112411]",101.4,NA
2020-09,Canada,Laser printers [36111242],98.9,NA
2020-09,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
2020-10,Canada,Computer monitors and computer printers [E12],96.5,NA
2020-10,Canada,Computer monitors [3611123],87.2,NA
2020-10,Canada,"Computer monitors, businesses and governments [36111231]",86.1,NA
2020-10,Canada,"Computer monitors, household [36111232]",92.1,NA
2020-10,Canada,Computer printers [3611124],99.5,NA
2020-10,Canada,Inkjet printers [36111241],102.7,NA
2020-10,Canada,"Inkjet printers, businesses and governments [361112411]",101.4,NA
2020-10,Canada,Laser printers [36111242],98.9,NA
2020-10,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
2020-11,Canada,Computer monitors and computer printers [E12],96.4,NA
2020-11,Canada,Computer monitors [3611123],87,NA
2020-11,Canada,"Computer monitors, businesses and governments [36111231]",85.9,NA
2020-11,Canada,"Computer monitors, household [36111232]",92.1,NA
2020-11,Canada,Computer printers [3611124],99.4,NA
2020-11,Canada,Inkjet printers [36111241],102.3,NA
2020-11,Canada,"Inkjet printers, businesses and governments [361112411]",100.6,NA
2020-11,Canada,Laser printers [36111242],98.8,NA
2020-11,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
2020-12,Canada,Computer monitors and computer printers [E12],96.5,NA
2020-12,Canada,Computer monitors [3611123],87,NA
2020-12,Canada,"Computer monitors, businesses and governments [36111231]",86,NA
2020-12,Canada,"Computer monitors, household [36111232]",91.8,NA
2020-12,Canada,Computer printers [3611124],99.5,NA
2020-12,Canada,Inkjet printers [36111241],102.8,NA
2020-12,Canada,"Inkjet printers, businesses and governments [361112411]",101.1,NA
2020-12,Canada,Laser printers [36111242],98.9,NA
2020-12,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
2021-01,Canada,Computer monitors and computer printers [E12],96.6,NA
2021-01,Canada,Computer monitors [3611123],87.6,NA
2021-01,Canada,"Computer monitors, businesses and governments [36111231]",86.7,NA
2021-01,Canada,"Computer monitors, household [36111232]",91.9,NA
2021-01,Canada,Computer printers [3611124],99.5,NA
2021-01,Canada,Inkjet printers [36111241],102.7,NA
2021-01,Canada,"Inkjet printers, businesses and governments [361112411]",100.2,NA
2021-01,Canada,Laser printers [36111242],98.9,NA
2021-01,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
2021-02,Canada,Computer monitors and computer printers [E12],96.6,NA
2021-02,Canada,Computer monitors [3611123],87.6,NA
2021-02,Canada,"Computer monitors, businesses and governments [36111231]",86.7,NA
2021-02,Canada,"Computer monitors, household [36111232]",92.1,NA
2021-02,Canada,Computer printers [3611124],99.5,NA
2021-02,Canada,Inkjet printers [36111241],102.7,NA
2021-02,Canada,"Inkjet printers, businesses and governments [361112411]",100.2,NA
2021-02,Canada,Laser printers [36111242],98.9,NA
2021-02,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
2021-03,Canada,Computer monitors and computer printers [E12],96.5,NA
2021-03,Canada,Computer monitors [3611123],87.3,NA
2021-03,Canada,"Computer monitors, businesses and governments [36111231]",86.3,NA
2021-03,Canada,"Computer monitors, household [36111232]",92.1,NA
2021-03,Canada,Computer printers [3611124],99.4,NA
2021-03,Canada,Inkjet printers [36111241],102.3,NA
2021-03,Canada,"Inkjet printers, businesses and governments [361112411]",100.3,NA
2021-03,Canada,Laser printers [36111242],98.9,NA
2021-03,Canada,"Laser printers, businesses and governments [361112421]",98.9,NA
